elevation_deg,link_margin_db,rl_mcs
5.0,-1.5,QPSK
5.018893087352745,-1.4981106912647255,QPSK
5.03778617470549,-1.496221382529451,QPSK
5.0566792620582355,-1.4943320737941765,QPSK
5.07557234941098,-1.492442765058902,QPSK
5.094465436763725,-1.4905534563236276,QPSK
5.11335852411647,-1.488664147588353,QPSK
5.132251611469215,-1.4867748388530786,QPSK
5.151144698821961,-1.4848855301178039,QPSK
5.1700377861747056,-1.4829962213825294,QPSK
5.18893087352745,-1.481106912647255,QPSK
5.207823960880195,-1.4792176039119804,QPSK
5.226717048232941,-1.4773282951767057,QPSK
5.245610135585686,-1.4754389864414312,QPSK
5.264503222938431,-1.4735496777061567,QPSK
5.283396310291176,-1.4716603689708823,QPSK
5.3022893976439205,-1.4697710602356078,QPSK
5.321182484996666,-1.4678817515003333,QPSK
5.340075572349411,-1.4659924427650588,QPSK
5.358968659702156,-1.4641031340297843,QPSK
5.377861747054901,-1.4622138252945098,QPSK
5.396754834407647,-1.4603245165592353,QPSK
5.4156479217603914,-1.4584352078239609,QPSK
5.434541009113136,-1.4565458990886864,QPSK
5.453434096465881,-1.4546565903534119,QPSK
5.472327183818626,-1.4527672816181374,QPSK
5.491220271171372,-1.450877972882863,QPSK
5.510113358524117,-1.4489886641475884,QPSK
5.5290064458768615,-1.447099355412314,QPSK
5.547899533229606,-1.4452100466770395,QPSK
5.566792620582351,-1.443320737941765,QPSK
5.585685707935097,-1.4414314292064903,QPSK
5.604578795287842,-1.4395421204712158,QPSK
5.623471882640587,-1.4376528117359413,QPSK
5.642364969993332,-1.4357635030006668,QPSK
5.6612580573460765,-1.4338741942653923,QPSK
5.680151144698822,-1.4319848855301176,QPSK
5.699044232051567,-1.4300955767948431,QPSK
5.717937319404312,-1.4282062680595686,QPSK
5.736830406757057,-1.4263169593242941,QPSK
5.7557234941098026,-1.4244276505890197,QPSK
5.774616581462547,-1.4225383418537452,QPSK
5.793509668815292,-1.4206490331184707,QPSK
5.812402756168037,-1.4187597243831962,QPSK
5.831295843520783,-1.4168704156479217,QPSK
5.850188930873528,-1.4149811069126472,QPSK
5.869082018226273,-1.4130917981773727,QPSK
5.8879751055790175,-1.4112024894420983,QPSK
5.906868192931762,-1.4093131807068238,QPSK
5.925761280284508,-1.4074238719715493,QPSK
5.944654367637253,-1.4055345632362748,QPSK
